Bosnia and Herzegovina,KM
Brazil,R$
China,&yen;
Japan,&yen;
United Kingdom,&pound;
Austria,&euro;
Belgium,&euro;
Bulgaria,&euro;
Croatia,&euro;
Republic of Cyprus,&euro;
Czech Republic,&euro;
Denmark,&euro;
Estonia,&euro;
Finland,&euro;
France,&euro;
Germany,&euro;
Greece,&euro;
Greece,&euro;
Hungary,&euro;
Ireland,&euro;
Italy,&euro;
Lithuania,&euro;
Luxembourg,&euro;
Malta,&euro;
Netherlands,&euro;
Poland,&euro;
Portugal,&euro;
Romania,&euro;
Slovakia,&euro;
Slovenia,&euro;
Spain,&euro;
Sweden,kr
United States,$
Australia,$
Bahamas,$
Barbados,$
Bermuda,$
Canada,$
Cayman Islands,$
Chile,$
Colombia,$
El Salvador,$
Fiji,$
Liberia,$
Mexico,$
Namibia,$
Nicaragua,C$ 
Signapore,$
Solomon Islands,$
Uruguay,$U 
